Regulator	Target	MI
App	Gm34921	0.8972135516775994
App	Gjb1	0.9026634543363938
App	Gm18870	0.8719806022018668
App	Agt	0.931357741862799
App	Bcl2	0.942451559361297
App	Slc39a12	1.1937452680152072
App	Ckmt2	0.9111653774049042
App	Smtn	0.8975309291615963
App	Parpbp	0.8880558073590832
App	Rpap3-ps2	1.003024875591679
App	Gm11427	1.0851026907627803
App	Gm47847	0.8439982707686164
App	Mpp6	0.9061272355953625
App	E230029C05Rik	0.9555452789710301
App	Gm8237	0.8784372686937205
App	Bub1	0.8874467694311656
App	B230334C09Rik	0.8781725816494959
App	Sult3a1	0.9332157001303276
App	Ugt1a10	0.8920252887667788
App	Ccr1	0.8954496974305419
App	Spag6l	0.8808194337329711
App	Gal	0.8832286455284466
App	Gm12877	0.9502190651152933
App	Prrg1	0.8644056418568704
App	Dock6	0.83717432504376
App	Mctp1	0.8735196389672435
App	Sept11	0.9359319355033238
App	Tek	0.84165581083204
App	C7	0.8973696131281832
App	Pawr	0.9248911616452586
App	Cyp7b1	0.9794179716873783
App	Chst7	0.9185732918223781
App	Olfr111	0.887929679863106
App	Klf7	0.869738538892566
App	Trib2	0.8873418954860464
App	Ctla2a	0.9213648804315184
App	Il15	0.8948537289415555
App	Kcnt2	0.9401919741832288
App	H2-D1	1.1133671219730852
App	Pkib	0.93116846047878
App	Sncaip	0.9372689068515498
App	Samd9l	0.9258168542722229
App	Nrgn	1.011800778795454
App	Pcdha5	0.8656664583667784
App	Hist1h2ai	0.8963732935426245
App	Mfhas1	0.9617838577775224
App	Casr	0.9271852642961251
App	Hephl1	0.9319519208261928
App	Cnr2	0.8786487686356228
Spi1	Gjc3	1.972056459891812
Spi1	Gm16252	1.9113906077198317
Spi1	CT485616.1	1.8396641550205723
Spi1	Hpgds	2.293182740163916
Spi1	Csf1r	2.0882426948765307
Spi1	Ptprc	2.320380584660877
Spi1	Ptprb	1.8311251923717844
Spi1	Hmmr	1.5780239900127162
