Regulator	Target	MI
App	Cyp4a12a	0.7743902614394349
App	Slc39a12	1.0855860377567579
App	Smtn	0.9470919539020031
App	E230029C05Rik	0.940282356054527
App	Prickle2	0.7958565131346278
App	Mef2c	0.9253992652447707
App	Nhsl1	0.9852024836106628
App	Klf7	0.7993728153991979
App	Ctla2a	1.1389495120200488
App	Srgap2	1.0464993190131722
App	Cyp11b2	0.8005499824754603
App	Gm40645	0.8635651295793796
App	Naip2	0.9314624490898709
App	Ugt2b36	0.7966844817831289
App	Adgrl3	0.796046383629955
App	Mfhas1	0.8181363292234991
App	Add2	0.759663433909231
App	Lancl3	1.0690020138500875
Spi1	Gjc3	1.9504338858292396
Spi1	Ncapg	1.4639572410854962
Spi1	F630028O10Rik	2.017940461631923
Spi1	Gjb1	1.5463929159318042
Spi1	B630019A10Rik	1.5370672294812753
Spi1	Fgd2	2.234352954593256
Spi1	Thsd7b	1.3584558013649328
Spi1	CT485616.1	1.974047004263527
Spi1	Hpgds	2.2944681126861872
Spi1	Csf1r	2.084167879663002
Spi1	Ptprc	2.249970748781935
Spi1	Gimap1	1.8211374066190444
Spi1	Gimap6	1.8232159000679768
Spi1	Hmmr	1.61907252454957
Spi1	Bcl2a1d	1.8385694708279061
Spi1	Bcl2a1b	1.898244208520504
Spi1	Knl1	1.555834458055993
Spi1	Tpx2	1.5502249576195242
Spi1	Ptpro	1.8654499834754574
Spi1	Vav1	1.9665602365410306
Spi1	Cd33	2.1909257569245444
Spi1	Gm47847	1.7440288592013573
Spi1	Gm33206	1.5469957221322383
Spi1	Cd48	2.3163488886691215
Spi1	Srgn	2.1096908482961627
Spi1	Cyp2d37-ps	1.6009759692659182
Spi1	Scimp	2.194546623370327
Spi1	Gm26522	2.070197863964516
Spi1	Gm8237	1.700141830424018
Spi1	Aim2	1.8766789384233924
Spi1	Gm26510	2.282927701876161
Spi1	B230334C09Rik	1.4842738553198727
Spi1	Sult3a1	1.4934550793780321
Spi1	Cyth4	2.098442823482566
Spi1	Lockd	1.515428699410431
Spi1	Srms	1.9277251495881718
Spi1	Gipc2	1.7990233814243934
Spi1	Ms4a8a	2.0081532805051294
Spi1	Depdc1a	1.5927992176942105
Spi1	Cd300c2	2.2721025267703134
Spi1	Ms4a6b	2.3506144315184403
Spi1	Vwa3a	1.7941607429294484
Spi1	Ms4a6d	2.2183234671027674
Spi1	Ncf4	2.2181967252257015
Spi1	Ms4a4a	2.459265794694419
Spi1	Nusap1	1.4698622531433259
Spi1	Rgcc	1.6026698375397945
Spi1	Rorb	1.5410007137509316
Spi1	Upp1	2.0451664908246174
Spi1	Irx3os	1.5906929045724798
Spi1	Fyb	2.2536667546600397
Spi1	AC161438.1	1.4355087919024987
Spi1	Efr3b	1.6392666848206412
Spi1	Prc1	1.5679144519754642
Spi1	Ccn2	1.628854891463222
Spi1	Pirb	2.114393893155902
Spi1	Grin2a	1.3862564614155852
Spi1	Spag6l	1.6880838396376117
Spi1	Mis18bp1	1.5097645574397962
Spi1	Ifi47	1.856538459282513
Spi1	Ctsc	2.0755510359590525
Spi1	B3gnt5	1.806330072515471
Spi1	Anln	1.568911853914905
Spi1	Ctss	1.8776754283876382
Spi1	Kif14	1.627011448759256
Spi1	Kif11	1.4358573017748268
Spi1	Kif15	1.4624386888111083
Spi1	Kif23	1.5064551417576908
Spi1	Runx3	2.342224172354968
Spi1	Stap1	2.2800827098104555
Spi1	Rgs1	2.0764200148627854
Spi1	H2-Ea-ps	1.9814616105530947
Spi1	Podxl	1.9694788894773287
Spi1	Ralyl	1.3281378349594393
Spi1	Cybb	2.1842464425131656
Spi1	Clec4n	2.109675062204775
Spi1	Ckap2	1.5134548051643248
Spi1	Gm1966	2.444977717102626
Spi1	Hcrtr2	1.5694351212753004
Spi1	Gm5431	1.6306949272571298
Spi1	Selplg	2.1354453451599147
Spi1	Clec9a	1.8015256056262654
Spi1	Kcna2	1.9046208481902154
Spi1	Clec7a	2.0900348345252517
Spi1	Mrc1	1.7745539574510554
Spi1	Gm8995	2.1619353466033857
Spi1	Cdca2	1.6467110797923556
Spi1	F2	1.4935598270094692
Spi1	Pik3r6	1.9582527306098152
Spi1	Olfr111	1.9067780640942313
Spi1	Egln3	1.8499824001179777
Spi1	Olfr933	1.7243232978321892
Spi1	Ly86	2.183984419429093
Spi1	Ly6a	2.004096370589422
Spi1	Efcab11	1.6936066639389553
Spi1	Lbp	1.7655852274119788
Spi1	Esco2	1.6079593884389798
Spi1	Arhgap22	1.28230511379342
Spi1	Ttk	1.6376461140631813
Spi1	Fam107b	1.4591050347983447
Spi1	Kcnk6	1.489784255945211
Spi1	Sgca	1.5819190043787241
Spi1	H2-DMb1	2.1273437017039987
