Regulator	Target	MI
App	Gm34921	0.8753204181234135
App	Tcf7l1	0.8664111298899275
App	Gjb1	0.962218283295651
App	Adamts1	0.8987621889216193
App	Bcl2	0.986598804590912
App	Slc39a12	1.1261649390687314
App	Ckmt2	0.90211710323352
App	Smtn	1.1075530766293156
App	Ptprk	0.9460364337956264
App	Gm13629	0.8841080886616544
App	Crim1	0.9922838359619162
App	Gm26522	0.9027986431635613
App	Tuba1a	0.8973557842529551
App	Epha3	0.8775771429406412
App	Lrr1	0.8786637949447718
App	1700042O10Rik	0.8770656265426346
App	Hcrtr2	0.8963810814805564
App	Sept11	0.9187155119413761
App	Nkain3	0.8665928946613768
App	C7	1.0181385057812307
App	Cyp7b1	1.0383644266907632
App	Chst7	0.9034363942777297
App	Itgb8	0.9832822912272645
App	Alas2	0.9690273921693962
App	Ctla2a	1.0281500470073537
App	Tmem26	0.8664350795824882
App	Kcnt2	0.8923585820330757
App	Angpt2	0.9369890904557332
App	Wipf1	0.8882363739226058
App	Gmds	0.8620500997478437
App	H2-D1	0.9156561876979818
App	S100a6	0.9578889951501788
App	Hist1h2ae	0.9151051024897079
App	St6galnac3	0.7608441647836219
App	Mfhas1	0.8669985678902483
App	Vmn2r96	0.9794038222617578
Spi1	Gjc3	1.9352214238681693
Spi1	Gjb1	1.789895912204531
Spi1	B630019A10Rik	1.6433026037387233
Spi1	Fgd2	2.250858394469872
Spi1	CT485616.1	2.0488366693169713
Spi1	Hpgds	2.335003257062888
Spi1	Csf1r	2.0990842673283687
Spi1	Ptprc	2.3768181330525935
Spi1	Gimap1	1.8152988361187372
Spi1	Tmem150b	1.912511771770066
Spi1	Hmmr	1.6993345937919662
Spi1	Slc39a12	1.6042204519176089
Spi1	Bcl2a1d	1.9044285005393942
Spi1	Bcl2a1b	1.9801813705205564
Spi1	Knl1	1.6540015600697178
Spi1	Tpx2	1.6568799651399235
Spi1	Pilra	2.155863657090359
Spi1	Kif18a	1.6501858356561403
Spi1	Parpbp	1.6205617561293018
Spi1	Ptpro	2.004310229955201
Spi1	Tlr7	2.297378650744366
Spi1	Cd33	2.3909823791107705
Spi1	Gm47847	2.031777022668659
Spi1	Apbb1ip	1.89182400236324
Spi1	Cd48	2.268526269927591
Spi1	Lifr	1.3630994151783087
Spi1	Cd86	1.9943951465042637
Spi1	Srgn	2.034255494190049
Spi1	Nxph1	1.6565949021016513
Spi1	Scimp	2.339881578926304
Spi1	Cd244a	1.5346432043802078
Spi1	Gm26522	2.05785024619849
Spi1	Gm8237	1.8622582477114484
Spi1	Aim2	1.8232532506782446
Spi1	Gm26510	2.2749595211549916
Spi1	Bub1	1.6474633406930668
