Regulator	Target	MI
App	Gjb1	0.8857087903840988
App	CT485616.1	0.9482718515583572
App	Nova2	0.8807388928302968
App	Bcl2	1.0673624050999075
App	Slc39a12	1.0131846948298628
App	Bcl2a1b	0.9184489737195518
App	Smtn	1.1499015682349274
App	Spon1	0.9701116214292682
App	Ptprk	0.8862822887157327
App	C8b	0.9438160132093047
App	Gm11427	0.93494451989329
App	E230029C05Rik	0.9393052117099128
App	Crim1	0.9477861490664461
App	Gm26522	1.0111939898065776
App	Gm8237	0.9219303524573892
App	Gm16332	0.9605290909810167
App	Pla2g4a	0.9655152822107498
App	Clec4n	0.9672759043895462
App	Proz	0.8880388236404233
App	Dock6	0.8843232594627519
App	Fam171a1	0.9693213442927062
App	Sept11	0.955726698103593
App	Vstm4	0.8804197557399487
App	C7	0.9045229918197331
App	Sptbn1	0.5062251077230187
App	Cyp7b1	0.9889068217304189
App	F2	0.9117116296090133
App	Olfr111	0.928410498259935
App	Ctla2a	1.0989395518641576
App	Gm8013	0.9979342467439505
App	Il15	0.9485485175090034
App	Kcnt2	0.8937769250676153
App	Cxcl16	0.9069456058386818
App	E330020D12Rik	0.9710540766587288
App	Angpt2	0.9546081295387356
App	Pkib	0.9539806051345989
App	P2ry10	0.9277764409707121
App	Gzmk	0.9294146636510678
App	C130050O18Rik	1.0100689074674776
App	Nrgn	0.9171671469772233
App	Gm2245	0.9425322369985585
App	Hist1h2an	0.8817725725499637
App	Ets2	0.8769368881490669
App	Lancl3	0.9428346263118517
Spi1	Smc2	1.5150340869182184
Spi1	Gjc3	1.943771905050319
Spi1	Ncapg	1.587962888429586
Spi1	Gm16252	1.8939651592981006
Spi1	F630028O10Rik	2.062631714063402
Spi1	Gjb1	1.824300729016973
Spi1	Abca9	1.451592168267032
Spi1	Fgd2	2.0181582331823664
Spi1	CT485616.1	1.9176139213463657
Spi1	Hpgds	2.3633725146708566
Spi1	Ffar2	1.7757115252073454
Spi1	Csf1r	2.0942699367722204
Spi1	Ptprc	1.9858719499452944
Spi1	Ptprb	1.7668435216914622
Spi1	Tmem150b	2.014342471955084
Spi1	Hmmr	1.644164781546949
Spi1	Hs3st3a1	1.8641588967049705
Spi1	Bcl2a1d	1.9067396111850918
Spi1	Bcl2a1b	1.8470634313072507
Spi1	Knl1	1.6031291671721224
Spi1	Tpx2	1.660050192735266
Spi1	Ptpro	1.8941762655748136
Spi1	Rpap3-ps2	1.6844363622202714
Spi1	Vav1	1.811506928196458
Spi1	Ankrd44	1.5388814794961903
Spi1	Tlr8	1.913674352308087
Spi1	Tlr7	2.3347265511621917
Spi1	Cd33	2.4025108822619687
Spi1	Gm47847	1.8823310661486286
Spi1	Apbb1ip	1.8264557382486917
Spi1	Cd48	2.0963013982468235
Spi1	Brca1	1.5194204062024026
Spi1	Lifr	1.6537603426667902
Spi1	Fcer2a	1.6776844784557303
Spi1	Coro1a	1.8555433577692897
Spi1	Srgn	2.023251515572822
Spi1	Cyp2d37-ps	1.7209968522763512
Spi1	Scimp	2.3417006378334997
Spi1	Mastl	1.6629771668438282
Spi1	Gm26522	2.0264492330980577
Spi1	Gm8237	1.780852818407329
Spi1	Oas2	1.8680022521394157
Spi1	Gm26510	2.171958585618893
Spi1	Bub1	1.663446549508194
Spi1	Sult3a1	1.7121636309534036
Spi1	Sema3d	1.6603805570051762
Spi1	Cyth4	1.8623235103391416
Spi1	Lockd	1.6513325009467348
Spi1	Nckap1l	1.8248964178000948
Spi1	Srms	1.9030763124611871
Spi1	Gipc2	1.7042789752654253
Spi1	Ms4a8a	2.0170879201383016
Spi1	Depdc1a	1.7801525435010452
Spi1	Cd300c2	2.4756318972319797
Spi1	Ms4a6b	2.593905894051664
Spi1	Ntf3	1.830003897327808
Spi1	Ms4a6c	2.1300459234042215
Spi1	Ms4a6d	2.084440430618531
Spi1	Ncf4	2.3300442321382766
Spi1	Ms4a4a	2.3519374058140925
Spi1	Rgcc	1.749814306558977
Spi1	Rorb	1.5816105049920264
Spi1	Upp1	2.0221373706507366
Spi1	Irx3os	1.6299347699934659
Spi1	Ces2e	1.9565461869427132
Spi1	Fyb	2.179542659612978
Spi1	Efr3b	1.682383305019215
Spi1	Ppm1j	1.709969124290426
Spi1	Arhgap45	1.9131869730117064
Spi1	Vsig2	1.676553037513541
Spi1	Ccr1	1.8069119636931719
Spi1	Spag6l	1.7089002664784916
Spi1	Mis18bp1	1.5912407293134478
Spi1	Ifi47	1.8661443804470172
Spi1	Ctsc	1.9718958246613223
Spi1	B3gnt5	1.9123668332482504
Spi1	Pla2g4a	1.6751487154736386
Spi1	Anln	1.7525094444057467
Spi1	Kif14	1.5710303131251333
Spi1	Kif11	1.5950121527540144
Spi1	Kif23	1.6196077367852482
Spi1	Tmem156	1.9360322554992342
