Regulator	Target	MI
App	Arap2	0.8713215602628441
App	Gjb1	0.999671816934848
App	Brinp2	0.9089870665651718
App	2600014E21Rik	0.9268765931242777
App	Alk	0.9213443494095896
App	Slc39a12	1.0605374384313668
App	Bcl2a1b	0.8936233530322033
App	Gucy1b1	0.9015886320964874
App	Spon1	0.8707336653490039
App	Gm11427	0.937175331141721
App	Gm47847	0.9264126697077248
App	E230029C05Rik	0.9550273957158186
App	Crim1	0.9075517953968033
App	Gm26522	1.0873400792491497
App	Fhl2	0.917205611168499
App	Efr3b	0.9114652534735468
App	Gm12877	0.9766531441833228
App	Cdc14a	0.896181743238639
App	Clec4n	0.8825864156646785
App	Sept11	0.9048284507365967
App	C7	0.9439802347505646
App	Cyp7b1	1.1141931868632966
App	Chst7	1.0648453492162293
App	Olfr111	0.9142905205798879
App	Olfr933	1.0636659755439002
App	Dgkh	0.9863511265030942
App	Ctla2a	0.9100600957484346
App	Il15	1.050342134493957
App	Srgap2	0.8997519128739349
App	Fam184b	0.9123948367684687
App	H2-D1	0.9027830350882882
App	Pkib	0.9022252285725081
App	Sncaip	0.9068778847313865
App	Nrgn	0.9922400081324785
App	Spock2	0.9272433542226022
App	Gm12688	0.9280425231757219
App	Rin2	0.906562942979841
App	Crhr2	0.9578716139232251
App	Zmat4	0.8681321465139833
App	Mfhas1	0.8909385713512563
App	Hephl1	0.9321309426228739
App	Add2	0.9121724542231524
App	Vmn2r96	0.9010317643144949
App	Lancl3	0.9431664649340545
App	Ccdc68	1.0864368589878177
Spi1	Gjc3	1.8228707936456265
Spi1	Gm16252	1.7911301600462943
Spi1	F630028O10Rik	1.9388779180128903
Spi1	Gjb1	1.7281985667290671
Spi1	Fgd2	2.1047901471470603
Spi1	CT485616.1	1.8159745416656845
Spi1	Hpgds	2.163698205223061
Spi1	Ptprc	2.3513592026642596
Spi1	Tmem150b	2.0403293282477923
Spi1	Hmmr	1.6335228887074287
Spi1	Hs3st3a1	1.8306867555801256
Spi1	Bcl2a1d	1.8950500789603604
Spi1	Bcl2a1b	1.8378535362238049
Spi1	Cmklr1	2.002953619135422
Spi1	Tpx2	1.6520343171151772
Spi1	Hip1	1.2879117123949246
Spi1	Kif18a	1.6019596824712519
Spi1	Parpbp	1.7067627237247178
Spi1	Ptpro	1.983473429675981
Spi1	Tlr7	2.2648725395413756
Spi1	Cd33	2.0384670096435116
Spi1	Gm47847	1.852734022238204
Spi1	Cd48	2.337753814157061
Spi1	Cd86	2.025766689007443
Spi1	Fcer2a	1.670321711196907
Spi1	Srgn	1.85860235352654
Spi1	Nxph1	1.6031681867911969
Spi1	Cyp2d37-ps	1.6435974684061767
Spi1	Scimp	2.150798049681427
Spi1	Gm26522	1.9999529498659374
Spi1	Gm8237	1.6503700315875651
Spi1	Gm26510	2.1995117803158317
Spi1	Bub1	1.62996431965583
Spi1	Sult3a1	1.6081563385784374
Spi1	Cyth4	2.0207300015664265
Spi1	Gipc2	1.7199686682800506
Spi1	Ms4a8a	1.9849170885505831
Spi1	Depdc1a	1.6211422114564806
Spi1	Lilra5	2.224168561156622
Spi1	Cd300c2	2.365930409264372
Spi1	Ms4a6b	2.3089844579169685
Spi1	Ntf3	2.1190653983920713
Spi1	Ms4a6d	2.004614255154352
Spi1	Ncf4	2.2068251284777425
Spi1	Ms4a4a	2.4621985384870855
Spi1	Anxa3	1.8259198136644352
Spi1	Upp1	2.045975109370155
Spi1	Irx3os	1.6317614001192302
Spi1	Ces2e	1.9300886485015267
Spi1	Fyb	2.235123521243309
Spi1	Efr3b	1.6173300081863768
Spi1	Arhgap45	2.029747171442242
Spi1	Vsig2	1.7303933116419241
Spi1	Ccnf	1.6664030434226085
Spi1	Spag6l	1.6195226127942766
Spi1	Ifi47	1.8949402125940873
Spi1	B3gnt5	1.9052080656049775
Spi1	Anln	1.631187694481535
Spi1	Ctss	1.7561931843129628
Spi1	Gm12877	1.6110612370877764
Spi1	Runx3	2.0677792802892423
Spi1	Stap1	2.118878750258661
Spi1	Rgs1	1.9537812610262657
Spi1	Slc8a1	1.58586845991337
Spi1	Cybb	2.1119221605137533
Spi1	Clec4n	2.043660211156028
Spi1	Proz	1.6271150656462883
Spi1	1700042O10Rik	1.6596090304312892
Spi1	Gm1966	2.289130495108531
Spi1	Gm5431	1.697878417990223
Spi1	Selplg	1.941519857240018
Spi1	Clec9a	1.7450228264419296
Spi1	Clec7a	2.0818787536452
Spi1	Mrc1	1.6871572440567082
Spi1	Gm8995	2.1608975943983832
Spi1	Chst7	1.6714596209497135
Spi1	Olfr111	2.0293811433426834
Spi1	Olfr933	1.8078395582936935
Spi1	Mir142hg	2.240338393973474
Spi1	Ly86	2.079122366860741
Spi1	Lbp	1.9138137308102712
Spi1	Col28a1	1.628539750109212
Spi1	Esco2	1.6423415698759678
Spi1	Ttk	1.607133477986877
Spi1	Fam107b	1.52086154229346
Spi1	H2-DMb1	2.2342392578847643
Spi1	Trib2	1.7724016902523667
Spi1	Dcstamp	1.816007493953605
Spi1	Oas1a	1.6185326471266608
Spi1	Ctla2a	1.978605190529966
Spi1	Gm8013	1.8482835176378059
Spi1	Zfp366	1.9934719193340351
Spi1	Gm13857	1.8329946510822044
Spi1	Klhl6	1.7195912342723245
Spi1	Il10ra	1.9667668910846157
Spi1	Tjp2	1.5319543994359472
Spi1	Atp8a1	1.3389104263674199
Spi1	Atp8b4	2.1883392072145798
