Regulator	Target	MI
App	Bcl2	1.026520293884178
App	Slc39a12	1.112813524112287
App	Rpap3-ps2	0.9852963400952142
App	E230029C05Rik	0.9632375072547541
App	Adamts18	0.9626716567185536
App	Plcl1	0.954873526400343
App	Cyp7b1	1.078700188005092
App	Chst7	1.0015676962160027
App	Itga8	0.9598827093179363
App	Mafb	0.9536325270984216
App	Ctla2a	1.0595318588508285
App	Gm13857	1.0065455931323921
App	Srgap2	1.0321306777233836
App	Fam184b	0.967319685129933
App	Gm2245	1.0734023691104992
Spi1	Gjc3	1.8609624145707615
Spi1	Ncapg	1.5678579649964064
Spi1	Gjb1	1.5895782460197658
Spi1	Ttyh1	1.2687073147369077
Spi1	B630019A10Rik	1.6738722704191806
Spi1	Fgd2	1.972362662539548
Spi1	CT485616.1	1.7934561719764543
Spi1	Hpgds	2.296500720900022
Spi1	Csf1r	1.9548930337453143
Spi1	Ptprc	2.2704829954524235
Spi1	Ptprb	1.809952128304496
Spi1	Tmem150b	2.0259094008422194
Spi1	Hmmr	1.7274919418721693
Spi1	Bcl2a1d	1.8776507722817417
Spi1	Bcl2a1b	1.8649460703613103
Spi1	Gpr174	1.575700208432135
Spi1	Parpbp	1.7073934297971531
Spi1	Ptpro	1.7846181706814734
Spi1	Vav1	1.8468099761962709
Spi1	Tlr7	2.1794230803928425
Spi1	Cd33	2.030953704205464
Spi1	Gm47847	1.8813518631236326
Spi1	Cd48	1.9818817834981095
Spi1	Coro1a	1.8473231740154272
Spi1	Srgn	2.0563253625437437
Spi1	Scimp	2.276668986020627
Spi1	Mastl	1.7584683818792959
Spi1	Gm26522	2.1320300612965255
Spi1	Gm8237	1.6701323673057304
Spi1	Oas2	1.8804221967639254
Spi1	Bub1	1.6342073034816877
Spi1	Sult3a1	1.634837116708848
Spi1	Cyth4	1.9822765497893702
Spi1	Gipc2	1.7106257107827911
Spi1	Fli1	1.6967634056354726
Spi1	Ms4a8a	1.955538951140471
Spi1	Depdc1a	1.6413013698703045
Spi1	Lilra5	2.181259256817526
Spi1	Cd300c2	2.260473273308396
Spi1	Ms4a6b	2.3295552155774177
Spi1	Ms4a6c	2.0919047610280046
Spi1	Ms4a6d	2.2467134372303437
Spi1	Ncf4	2.391454973940263
Spi1	Ms4a4c	1.8624224190229146
Spi1	Ms4a4a	2.4685402152934564
Spi1	Upp1	2.0447449666085147
Spi1	Irx3os	1.6643697842045908
Spi1	Fyb	2.3539276550155974
Spi1	Ccnf	1.6450997977489958
Spi1	Pirb	1.8876351227521084
Spi1	Grin2a	1.3603017210851922
Spi1	Ccr1	1.828985796935946
Spi1	Mis18bp1	1.578959712367185
Spi1	Ifi47	1.8383006881803245
Spi1	Ctsc	1.8477150103209006
Spi1	B3gnt5	1.822075525061754
Spi1	Anln	1.6358969353683532
Spi1	Ctss	1.8783950772918123
Spi1	Kif14	1.6083539455412552
Spi1	Kif23	1.578127840219543
Spi1	Runx3	2.050321869539374
Spi1	Rgs1	1.9972433133765346
Spi1	Slc8a1	1.646410229489069
Spi1	H2-Ea-ps	1.864499440986613
Spi1	Gm49339	1.7468157193088825
Spi1	Ifi203-ps	1.8568938737169267
Spi1	Cybb	2.2958725327977567
Spi1	Clec4n	2.0359850337158125
Spi1	Unc45b	1.7604749863002827
Spi1	Gm1966	2.4790041228033575
Spi1	Hcrtr2	1.6668721251888483
Spi1	Selplg	2.081055625744498
Spi1	Clec9a	1.7518958730720628
Spi1	Kcna2	1.9976911200987102
Spi1	Clec7a	2.0543428338040215
Spi1	Sox10	1.6951839882856437
Spi1	Gm8995	2.051476931872952
Spi1	Nhsl1	1.5792629932022182
Spi1	Cdca2	1.5663338436002032
Spi1	Chst7	1.5854770589017226
Spi1	Pik3r6	1.9678503217660364
Spi1	Olfr111	2.0108746347205484
Spi1	Olfr933	1.677435163500176
Spi1	Mir142hg	2.1445129975695405
Spi1	Ly86	2.1538889741226113
Spi1	Ly6a	1.9352187919632096
Spi1	Col28a1	1.7173397258186913
