Regulator	Target	MI
App	Adamts1	0.9434035298439669
App	Crnde	0.9610301916654072
App	Bcl2	0.99717863528448
App	Slc39a12	1.0735820642336007
App	Bcl2a1d	1.0203074720250678
App	Smtn	0.9488756035331987
App	E230029C05Rik	1.0742906147655082
App	Gm26522	0.9781755976344257
App	Ccr1	0.9646000266482071
App	B3gnt5	1.0226660902081868
App	Cdc14a	0.9467887929642469
App	1700042O10Rik	1.1107704210797316
App	Clec7a	1.0703939602794792
App	Cyp7b1	1.0233520294784757
App	Chst7	0.9569156055369108
App	Nkx2-2	0.9323614560020719
App	Dcstamp	0.9517303188886252
App	Ctla2a	0.9929982394929366
App	Mmp13	0.9859979001424204
App	Syne1	0.8024001507921854
App	Gm2245	0.9907526260614814
App	Gm12688	1.1140671739911703
App	B130024G19Rik	0.9754085464577908
App	Lctl	1.0260211205090757
App	Hist1h2ad	1.0343945662031766
App	Pear1	0.9425404244534583
App	Cnr2	1.0440473217866657
Spi1	Gjc3	1.7937451064450514
Spi1	B630019A10Rik	1.5880961748553215
Spi1	Fgd2	1.987213615341278
Spi1	CT485616.1	1.8385770853804368
Spi1	Hpgds	2.2667460766607412
Spi1	Ffar2	1.7603495042060526
Spi1	Ptprc	2.2099621283370823
Spi1	Hmmr	1.6153569922623445
Spi1	Slc39a12	1.5289885137525019
Spi1	Bcl2a1d	1.7366579872418137
Spi1	Knl1	1.6262595952413283
Spi1	Tpx2	1.5977435575699888
Spi1	Kif18a	1.6141269734585197
Spi1	Parpbp	1.6797331481265294
Spi1	Ptpro	1.6712611054571935
Spi1	Vav1	1.841389663249414
Spi1	Cd33	2.1634322380064246
Spi1	Gm47847	1.7518752676512594
Spi1	Cd48	1.9466731608970136
Spi1	Gm13629	1.564216693537304
Spi1	D830026I12Rik	1.5687780552952146
Spi1	Fcer2a	1.5980884134437545
Spi1	Vwc2l	1.541995361559957
Spi1	Srgn	1.9665455732290553
Spi1	Cyp2d37-ps	1.6094098243652732
Spi1	Scimp	2.1167630756678246
Spi1	Mastl	1.5725113345071087
Spi1	Gm8237	1.56941298619033
Spi1	Aim2	1.8715564494256345
Spi1	Oas2	1.8619810392145357
Spi1	Gm26510	2.1277933804593507
Spi1	Bub1	1.5446396594454264
Spi1	B230334C09Rik	1.6137352017725979
Spi1	Sult3a1	1.5280661506359374
Spi1	Sema3d	1.6050916706041276
Spi1	Cyth4	2.0040753001565346
Spi1	Srms	1.886430328685572
Spi1	Ms4a8a	1.914461450339151
Spi1	Cd300c2	2.547926293501968
Spi1	Ms4a6b	2.293488404315853
Spi1	Hs6st2	1.479259352040443
Spi1	Ncf4	2.3843652088499674
Spi1	Ms4a4a	2.590364812281981
Spi1	Nusap1	1.5441001031299493
Spi1	Rorb	1.5144964724932315
Spi1	Upp1	1.9615075276842209
Spi1	Irx3os	1.7350245239323163
Spi1	Fyb	2.1750715237719076
Spi1	Prc1	1.601246668821557
Spi1	Ppm1j	1.6542599023082305
Spi1	Chst15	1.6194111163356428
Spi1	Ccn2	1.5823678750794725
Spi1	Vsig2	1.7487817783626118
Spi1	Pirb	1.924622920302629
Spi1	Art1	1.5324179502651702
Spi1	Spag6l	1.5653538811444854
Spi1	Mis18bp1	1.5629030933131123
Spi1	Ifi47	1.7496497290061068
Spi1	B3gnt5	1.8026605530988666
Spi1	Ctss	1.7014410635138715
Spi1	Kif14	1.6537322394661214
Spi1	Gm12877	1.5939867778892758
Spi1	Kif23	1.6227589251052539
Spi1	Runx3	2.1494453995890224
Spi1	Stap1	2.0894604382001853
Spi1	Slc8a1	1.5900494026128067
Spi1	Ifi203-ps	1.7635043913401018
Spi1	Cybb	2.0181120596970823
Spi1	Clec4n	1.8850543738883454
Spi1	Slfn2	1.622743156389622
Spi1	Unc45b	1.6734632046174784
