Regulator	Target	MI
App	Bcl2	1.0569190978846352
App	Slc39a12	1.1577209473641652
App	Smtn	1.0719412191727207
App	Gm11427	1.0640413681618748
App	Crim1	1.0250390007574843
App	Cyp7b1	1.0754346932120704
App	Chst7	1.0218406050284115
App	Nkx2-2	1.0122396393968485
App	Trib2	1.0731836056521695
App	Il15	1.0272343848539824
App	Angpt2	1.0146208937037322
App	Tbc1d1	1.030642290650392
Spi1	Gjc3	1.8014575196189533
Spi1	Fgd2	1.9451953527416332
Spi1	CT485616.1	1.8400833613241767
Spi1	Brinp3	1.4655659646282775
Spi1	Hpgds	2.1942854457862637
Spi1	Csf1r	1.9641896771804852
Spi1	Serpina1c	1.4783567816320984
Spi1	Ptprc	2.084052723641963
Spi1	Hmmr	1.7110514722175374
Spi1	Bcl2a1b	1.8123642564180216
Spi1	Gpr174	1.627118952546784
Spi1	Knl1	1.448555964326137
Spi1	Cmklr1	1.8201178018589887
Spi1	Kif18a	1.5878437126987004
Spi1	Parpbp	1.5542472739184419
Spi1	Ptpro	1.6990735092270333
Spi1	Tlr7	2.1110296530462183
Spi1	Cd33	2.090254429161871
Spi1	Gm47847	1.8386970628305228
Spi1	Cd48	1.9501296066245102
Spi1	D830026I12Rik	1.4836269323569748
Spi1	Nedd9	1.323395120431993
Spi1	Fcer2a	1.4679957822383196
Spi1	Srgn	1.9618295369283434
Spi1	Cyp2d37-ps	1.5941684176663529
Spi1	Scimp	2.068808904607673
Spi1	Mastl	1.5626099782174165
Spi1	Gm26522	1.8929531183756279
Spi1	Gm8237	1.6665497887557867
Spi1	Aim2	1.7142631200292664
Spi1	Bub1	1.5766209208278505
Spi1	B230334C09Rik	1.4899671218343427
Spi1	Sult3a1	1.5457141579442846
Spi1	Gipc2	1.6849622337902428
Spi1	Ms4a8a	2.011106193217846
Spi1	Depdc1a	1.5154814233031866
Spi1	Lilra5	2.153751924061849
Spi1	Cd300c2	2.4296251377931126
Spi1	Ms4a6b	2.169874507421138
Spi1	Hs6st2	1.4568919783293515
Spi1	Ms4a6d	1.9035488670964575
Spi1	Ncf4	2.3064817777609257
Spi1	Ms4a4a	2.4272297698589202
Spi1	Upp1	1.9048828637541924
Spi1	Irx3os	1.6363665279087778
Spi1	Fyb	2.237419415303797
