Regulator	Target	MI	pvalue
Sox17	Zc3h12d	2.1856626625434585	1.6986412276764895E-10
Spi1	Ctla2a	1.8783436832861917	1.6986412276764895E-10
Ebf1	Ptafr	1.0423321529476914	2.1949162487544527E-5
Gata4	Rcan2	1.4563635094569276	9.044750415299063E-4
Maf	Pik3cd	1.7005840385678808	2.1949162487544527E-5
Pax5	Timd4	1.2529528143197446	9.044750415299063E-4
Ikzf1	Wdfy4	2.4037675253106094	1.6986412276764895E-10
Top2a	Gm5431	1.630373246781018	0.03263817847320993
Klf2	Esam	1.7248535672479945	9.044750415299063E-4
Vav1	Adgrg6	1.7946206374867006	4.737510383989729E-7
Tfap2b	Kif4	1.6805057019089396	0.03263817847320993
Hnf4a	Itih3	1.784395399106818	1.6986412276764895E-10
Hnf4a	Itih2	2.4950042623493993	1.6986412276764895E-10
Hnf4a	Itih1	2.483470936196724	4.737510383989729E-7
Hnf4a	Itih4	2.3802247439987707	0.03263817847320993
Pknox2	Amotl2	1.931857580894215	9.229284003708926E-9
Foxp2	Runx2	1.0333638164158436	9.229284003708926E-9
Scand1	Adgrl3	1.3832394392951624	9.044750415299063E-4
Nr1i3	Abca6	1.2655525842097712	9.044750415299063E-4
Spi1	Cd48	2.1792711329689	1.6986412276764895E-10
Klf2	Bcl2a1b	1.6482300644560184	9.044750415299063E-4
Mkx	Lix1	1.6667740787442602	9.044750415299063E-4
Zfp385b	F11	1.3344428031798623	0.03263817847320993
Lef1	Gm47782	1.4491658236209486	1.6986412276764895E-10
Meox1	A530016L24Rik	1.8157079958227043	4.737510383989729E-7
Tcf15	Arhgap9	1.3768513085870295	2.1949162487544527E-5
Irf4	Slc25a42	1.5444701654276034	9.229284003708926E-9
Zmynd15	Naip6	1.6157868681051681	1.6986412276764895E-10
Nr1i3	Abcc6	1.744777443730498	0.03263817847320993
Zmat4	Crhr2	2.435940823809962	9.229284003708926E-9
Spi1	Cd33	2.184397722650929	1.6986412276764895E-10
Lyl1	Nckap1l	2.0313867473665956	9.229284003708926E-9
Hnf4a	Abcc2	1.7654219192261267	1.6986412276764895E-10
Pax8	Atp1b4	2.417389812158084	0.03263817847320993
Nkx2-2	Stmn2	2.3616485708051633	9.044750415299063E-4
Gli1	Crtam	1.0911897093601186	0.03263817847320993
Bnc1	Pald1	1.1427193800625297	0.03263817847320993
Mitf	Sult1d1	1.5926523215799961	0.03263817847320993
Ikzf1	C1qb	2.017841647148072	4.737510383989729E-7
Pax5	Pamr1	1.2877845835028305	9.044750415299063E-4
Isl1	Parpbp	2.2148768039535973	9.044750415299063E-4
Mafb	Tenm2	1.572591107371486	0.03263817847320993
Runx1t1	Adamts12	1.4902337616844623	9.044750415299063E-4
Nr1i3	Abcd2	1.2495846438325307	0.03263817847320993
Hlf	Pcdha1	1.8152568939443148	9.229284003708926E-9
Kcnh8	Oas3	1.5634531220979146	9.044750415299063E-4
Mafb	9530026P05Rik	1.0405234740036466	9.229284003708926E-9
Zmynd15	Pld4	1.7277521499284008	2.1949162487544527E-5
Prrx1	Prickle2	1.2662308423019104	2.1949162487544527E-5
Nr1i3	Abcg5	2.3237908835576	1.6986412276764895E-10
Klf5	Ogn	1.3747608437320384	0.03263817847320993
Hlf	Prc1	1.9081881809949617	9.229284003708926E-9
Atad2	Apcdd1	1.6199148939195518	0.03263817847320993
Zfp804a	Tyrobp	1.6789342408163261	9.229284003708926E-9
Sox17	Tgm2	1.9584145042617394	9.229284003708926E-9
Zc3h12d	Nrp1	1.4894056513953227	2.1949162487544527E-5
Cux2	Syt7	1.498097270481629	1.6986412276764895E-10
Ppara	Tspan8	1.0602990013102063	0.03263817847320993
Ahr	Cxcl16	1.678710108603824	4.737510383989729E-7
Prdm1	Shank3	1.7519207484836266	9.044750415299063E-4
Egr3	Rmst	1.7016102916505047	1.6986412276764895E-10
Wt1	Atp2a3	1.4645358492000575	9.044750415299063E-4
Nkx2-2	Gm31522	2.6754854005191637	4.737510383989729E-7
Isl1	Gzmk	2.230629916139059	1.6986412276764895E-10
Zfp366	Cd33	2.2195448036416687	9.229284003708926E-9
Runx1t1	Ltbp4	1.422882481972472	4.737510383989729E-7
Klf2	Slc10a6	1.8176422689517195	1.6986412276764895E-10
Vav1	P2ry6	1.7839147218976095	9.229284003708926E-9
Prrx1	Tnfrsf11b	1.76808615636942	4.737510383989729E-7
Gli1	Aspn	1.2113239366763566	2.1949162487544527E-5
Top2a	Kif14	1.9338480326750251	1.6986412276764895E-10
Top2a	Kif15	2.1955936393215705	1.6986412276764895E-10
Top2a	Kif11	2.6966870623910775	1.6986412276764895E-10
Lmo2	Ces2e	1.7124399557777517	9.229284003708926E-9
Chd5	Cacna1b	1.6634000895345937	9.229284003708926E-9
Zfp608	Gm9989	1.248193462835372	0.03263817847320993
Tfec	Gmds	1.4695223322442494	1.6986412276764895E-10
Myt1l	Gm2115	1.5548549214799938	2.1949162487544527E-5
Spi1	Ncf4	2.3107195073205835	1.6986412276764895E-10
Nr1i3	Itih1	2.51610440728604	1.6986412276764895E-10
Nr1i3	Itih2	2.3672767429325083	4.737510383989729E-7
Pax8	Gm28653	2.507505529953526	9.044750415299063E-4
Egr1	S100a6	1.867263396718041	9.044750415299063E-4
Vav1	Ms4a6c	2.037331871534933	1.6986412276764895E-10
Vav1	Ms4a6d	2.370892647845693	1.6986412276764895E-10
Hlf	Brinp3	1.7614010484024514	2.1949162487544527E-5
Rorb	Ccbe1	1.021319682036207	2.1949162487544527E-5
Tfec	Dse	1.5044373810283496	2.1949162487544527E-5
Zmynd15	Pkib	1.737626209469364	4.737510383989729E-7
Ets2	B130024G19Rik	1.911727045775055	0.03263817847320993
Vav1	Ms4a8a	2.0338620827691094	9.229284003708926E-9
Zmynd15	Ppp1r16b	1.5055673548642534	9.044750415299063E-4
Lhx6	Rasal3	2.080091314686165	9.044750415299063E-4
Nkx2-2	Fcgr3	2.212563048077366	0.03263817847320993
Ets2	Gm8013	1.7032652131324084	0.03263817847320993
Pknox2	Chst11	1.334703965835152	1.6986412276764895E-10
Rorb	Zfp536	1.6299815116657037	1.6986412276764895E-10
Notch3	Hacd2	1.2524899862816068	2.1949162487544527E-5
Klf5	Gm12394	1.9301885372672292	1.6986412276764895E-10
Irf5	Gm35154	1.9252382960005126	9.044750415299063E-4
Irf5	Tyrobp	1.8066070739090414	0.03263817847320993
Fli1	Pecam1	1.8134383541296153	0.03263817847320993
Zbtb7c	Prdm6	1.0561025887391196	2.1949162487544527E-5
Casz1	Adamtsl2	1.5310693016130996	0.03263817847320993
Hnf1b	Serpina3m	2.3531599607758937	0.03263817847320993
Bcl6b	Zbtb46	1.6811475471533948	4.737510383989729E-7
Gli2	Rhobtb1	1.8823062277115328	9.044750415299063E-4
Vav1	Ms4a4a	2.007683671177489	9.229284003708926E-9
Vav1	Ms4a4c	2.3686508523668146	1.6986412276764895E-10
Hnf1b	Serpina3k	1.605252606198814	9.044750415299063E-4
Irf5	Gm49767	1.8785261672983484	4.737510383989729E-7
Ahr	Trpm5	1.5706405836901833	0.03263817847320993
Zfp385b	Vegfc	1.3891931690486112	9.229284003708926E-9
E2f7	2610316D01Rik	1.7378423255578244	1.6986412276764895E-10
Irx5	Casp4	2.621832022134794	1.6986412276764895E-10
Tfap2b	Ndc80	1.6631067145297913	0.03263817847320993
Esr1	Sult2a5	1.5603523229088236	0.03263817847320993
Esr1	Nr4a2	1.3500236537159278	9.044750415299063E-4
Tfcp2l1	Gm49394	2.3628437270299285	1.6986412276764895E-10
Zc3h12d	Arhgap15	1.7416874870037402	4.737510383989729E-7
Atad2	Ect2	1.8850675574395217	9.229284003708926E-9
Hlf	Ttk	1.8204076029434695	0.03263817847320993
Rorb	Kctd8	1.8741637312670831	4.737510383989729E-7
Tal1	Robo3	2.0520979600991094	1.6986412276764895E-10
Tal1	Gm32688	1.9778729855202755	9.044750415299063E-4
Nkx2-2	Schip1	1.7406525118255054	9.044750415299063E-4
Scand1	Gm34921	2.379564139268455	0.03263817847320993
Fosb	Usp18	1.5817213221517448	0.03263817847320993
Prdm1	Icam1	2.044037836136417	0.03263817847320993
Klf2	Alox5ap	1.7599659716623048	9.229284003708926E-9
Zc3h12d	Ms4a4b	1.9066661241179457	9.044750415299063E-4
Irf5	Ly6c1	1.8478975769665449	0.03263817847320993
Zfp831	Tmem132d	2.0944091871911716	2.1949162487544527E-5
Mecom	Col14a1	1.528064722403231	1.6986412276764895E-10
Vav1	Adgre1	2.2821278158303167	1.6986412276764895E-10
Pax8	Itih4	2.596690207325951	4.737510383989729E-7
Sox17	Tnfrsf11a	1.9386024120694165	2.1949162487544527E-5
Spi1	Tmem150b	1.9962280821158114	9.044750415299063E-4
Irx5	Ripply3	1.8560838375584439	4.737510383989729E-7
Tbx5	Ffar4	1.2307882427577854	0.03263817847320993
Runx1t1	Gm42397	1.4770532863862589	4.737510383989729E-7
Nfatc2	Akr1c20	1.863696828972766	4.737510383989729E-7
Mkx	Slc26a4	1.6852357010157821	2.1949162487544527E-5
Pknox2	Car1	1.9767803385970673	9.044750415299063E-4
Zfp608	P2ry10	1.2675693918576343	2.1949162487544527E-5
Ikzf1	Nlrp3	2.165824475642311	4.737510383989729E-7
Ebf2	Irf4	1.5059831268592576	9.044750415299063E-4
Npas3	Pcdh10	1.5996548847230672	4.737510383989729E-7
Isl1	Spag6l	2.3644220773761364	9.229284003708926E-9
Lyl1	Ms4a4c	2.2242245469695936	0.03263817847320993
Myt1	Dhcr24	2.0716427967871116	9.229284003708926E-9
Isl1	B3gnt5	2.162259472896477	2.1949162487544527E-5
Top2a	E2f7	1.6690431176209266	9.229284003708926E-9
Spi1	Car1	1.579210507553036	0.03263817847320993
Pou2f2	Kcnk13	1.7162562249403717	4.737510383989729E-7
Myb	Gm12877	2.6189758949216606	9.044750415299063E-4
Fosb	Cyp2d37-ps	1.6851814108848895	1.6986412276764895E-10
