TF	target	importance
Thrb	Gpam	595.6580991410042
Thrb	Gramd1b	357.5301098550634
Thrb	Lgr4	339.61156617469186
Thrb	Prkcd	321.14592807780934
Thrb	Malat1	320.36225605630545
Thrb	Me1	313.91149810297975
Thrb	Prr16	308.41129621472294
Thrb	Itpr1	292.1456937448019
Thrb	Gm49708	280.67976225317216
Thrb	Pde8b	278.73713674134814
Thrb	CT025731.1	273.65812153359457
Thrb	Stat5b	271.646186644854
Thrb	Xdh	267.5006840844893
Thrb	Pdgfd	266.3873740968522
Thrb	Rora	251.4688252534548
Thrb	Fam126a	238.73152941762314
Thrb	Nrbp2	231.80267993581592
Thrb	Plpp3	229.99053562777706
Thrb	Ddx5	229.33661209696572
Thrb	Adh1	221.4478456184145
Thrb	Etv6	220.9774800425118
Thrb	Mkx	217.03229131391308
Thrb	Lypd6	212.89176552167265
Thrb	Baz2b	210.43109424292095
Thrb	Zhx3	210.2926082503716
Thrb	Nfia	205.13576451201695
Thrb	Phf20l1	203.78666745896496
Thrb	Trim2	203.54402126915662
Thrb	Mrap	196.88114744502536
Thrb	Cd1d1	196.75277118493108
Thrb	Jarid2	196.14652689112685
Thrb	Larp1b	184.4353270610424
Thrb	Mtus2	181.7438316433092
Thrb	Gm47101	180.60534861544886
Thrb	Zbtb7c	180.51814021696237
Thrb	Gpc5	178.34238265171578
Thrb	Psme4	176.51288655467778
Thrb	Ccnl2	176.16538157521043
Thrb	Fmo1	176.07145176547115
Thrb	Abcb1b	175.7014436490455
Thrb	Cyp2f2	175.50401226063502
Thrb	Ecpas	174.22278519368132
Elf2	Pip5k1b	173.20435122805824
Thrb	Aff2	173.1431788735306
Thrb	Chd9	171.55417050053134
Thrb	Tnrc6b	170.15222503340482
Thrb	Runx2	169.79996043586297
Thrb	Ankrd11	168.31301739767414
Thrb	Large1	168.1341831622159
Thrb	Cyp21a1	166.3952277896779
Thrb	Dlg2	166.28985879905338
Elf2	Sorbs2	165.94252672079125
Elf2	Tnik	165.75225646965933
Elf2	Slc7a1	159.8408966516496
Elf2	Clasp2	159.04933216413338
Elf2	Ern1	158.8754653032906
Thrb	Shb	158.85067160451266
Elf2	Zfp462	158.5810060797383
Vdr	Snap25	156.99732108798477
Elf2	Arid1b	156.44571176414968
Thrb	Dock7	155.8521433119514
Thrb	Mycbp2	153.50461994247064
Thrb	Bcl6	153.1480140871759
Rarg	Prkch	152.65135602936257
Rxrg	Slc24a3	152.2198697220112
